source,destination
89337,10890
121,10891
17,10892
89437,10893
72638,10894
122,10895
72637,10896
85,10897
117,10898
25,10899
89789,10900
72640,10901
89329,10902
72680,10903
89428,10904
93,10905
77,10906
89365,10907
53385,10908
31677,10909
89787,10910
89348,10911
72616,10912
89421,10913
89507,10914
89345,10915
12,10916
40,10917
78,10918
72634,10919
53389,10920
89505,10921
33,10922
53405,10923
47,10924
89369,10925
89325,10926
31674,10927
89366,10928
72620,10929
30640,10930
89386,10931
57,10932
89435,10933
89367,10934
33610,10935
89323,10936
75,10937
89328,10938
31,10939
89389,10940
109,10941
53202,10942
50,10943
35630,10944
89427,10945
53203,10946
89419,10947
89406,10948
49,10949
89429,10950
89394,10951
15,10952
83,10953
127,10954
89373,10955
88,10956
32,10957
89424,10958
89402,10959
89320,10960
53387,10961
89324,10962
52604,10963
14,10964
89426,10965
91,10966
105,10967
52584,10968
53344,10969
94,10970
72636,10971
89400,10972
62,10973
100,10974
105731,10975
89416,10976
30646,10977
89391,10978
27,10979
89343,10980
89346,10981
24,10982
52283,10983
123,10984
89330,10985
89401,10986
54,10987
124,10988
104,10989
97,10990
60,10991
31679,10992
95,10993
11,10994
31678,10995
52,10996
34,10997
37,10998
20,10999
89331,11000
89392,11001
72614,11002
31675,11003
31676,11004
89380,11005
72613,11006
89388,11007
71707,11008
89405,11009
53384,11010
89393,11011
53395,11012
53412,11013
69,11014
89333,11015
44,11016
52558,11017
52619,11018
41,11019
89334,11020
89420,11021
89342,11022
72538,11023
68,11024
89341,11025
8952,10868
14349,10869
8945,10870
14353,10871
52022,10874
52023,10875
8949,10876
8941,10877
8947,10878
